ID,Год,Тип,Название,URL турнира,URL результатов,Записей
3132,1994,old,II Командный чемпионат России. Полуфинал,https://bridgesport.ru/tournaments/results/3132/,https://bridgesport.ru/local/_ajax/resultNew.php?id=3132,15
3201,1994,old,I Бриджевый фестиваль А-Приз. Парный конгресс,https://bridgesport.ru/tournaments/results/3201/,https://bridgesport.ru/local/_ajax/resultNew.php?id=3201,28
3143,1994,old,I Кубок РиО,https://bridgesport.ru/tournaments/results/3143/,https://bridgesport.ru/local/_ajax/resultNew.php?id=3143,35
3188,1995,old,II Мемориал А. Симакова,https://bridgesport.ru/tournaments/results/3188/,https://bridgesport.ru/local/_ajax/resultNew.php?id=3188,19
515,1995,old,III Парный чемпионат России,https://bridgesport.ru/tournaments/results/515/,https://bridgesport.ru/local/_ajax/resultNew.php?id=515,64
3183,1995,old,III Мемориал Д.Рыбакова,https://bridgesport.ru/tournaments/results/3183/,https://bridgesport.ru/local/_ajax/resultNew.php?id=3183,24
521,1995,old,III Командный чемпионат России,https://bridgesport.ru/tournaments/results/521/,https://bridgesport.ru/local/_ajax/resultNew.php?id=521,12
3121,1995,old,"IV Фестиваль ""Белые ночи"". Командный турнир",https://bridgesport.ru/tournaments/results/3121/,https://bridgesport.ru/local/_ajax/resultNew.php?id=3121,7
3177,1995,old,"IV Фестиваль ""Белые ночи"". Парный конгресс",https://bridgesport.ru/tournaments/results/3177/,https://bridgesport.ru/local/_ajax/resultNew.php?id=3177,24
3194,1995,old,XI Парный чемпионат Санкт-Петербурга (MP),https://bridgesport.ru/tournaments/results/3194/,https://bridgesport.ru/local/_ajax/resultNew.php?id=3194,28
3128,1995,old,Командный чемпионат Санкт-Петербурга 1995,https://bridgesport.ru/tournaments/results/3128/,https://bridgesport.ru/local/_ajax/resultNew.php?id=3128,8
4804,1995,old,III Командный чемпионат России. Полуфиналы,https://bridgesport.ru/tournaments/results/4804/,https://bridgesport.ru/local/_ajax/resultNew.php?id=4804,0
3144,1995,old,II Кубок РиО,https://bridgesport.ru/tournaments/results/3144/,https://bridgesport.ru/local/_ajax/resultNew.php?id=3144,28
3208,1995,old,Отбор в сборную,https://bridgesport.ru/tournaments/results/3208/,https://bridgesport.ru/local/_ajax/resultNew.php?id=3208,18
3189,1996,old,III Мемориал А. Симакова,https://bridgesport.ru/tournaments/results/3189/,https://bridgesport.ru/local/_ajax/resultNew.php?id=3189,36
514,1996,old,IV Парный чемпионат России,https://bridgesport.ru/tournaments/results/514/,https://bridgesport.ru/local/_ajax/resultNew.php?id=514,130
3184,1996,old,IV Мемориал Д.Рыбакова,https://bridgesport.ru/tournaments/results/3184/,https://bridgesport.ru/local/_ajax/resultNew.php?id=3184,34
520,1996,old,IV Командный чемпионат России,https://bridgesport.ru/tournaments/results/520/,https://bridgesport.ru/local/_ajax/resultNew.php?id=520,12
4744,1996,old,15th European Youth Team Championships,https://bridgesport.ru/tournaments/results/4744/,https://bridgesport.ru/local/_ajax/resultNew.php?id=4744,0
